Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;XRRigPosition;CameraGlobalPosition;CameraForward;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability;GazeHitObject;GazeHitPosition
5837997;1000114084146964344;63789618790784;(-0.490, 1.636, 2.918);(-0.006, 0.999, -0.004, 0.050);(0.000, 0.000, 0.000);(-0.490, 1.636, 2.918);(0.100, -0.007, -0.995);VALID;(0.014, 0.016, 1.000);(0.000, 0.000, 0.000);VALID;(0.123, 0.021, 0.992);(-0.034, 0.000, 0.000);0.04559048;VALID;(-0.132, 0.010, 0.991);(0.034, 0.000, 0.000);0.0458879;0.262143;0;Distance Text Near;(-0.453, 1.632, 2.624)
5837998;1000114084151968175;63789618790784;(-0.490, 1.636, 2.918);(-0.006, 0.999, -0.004, 0.050);(0.000, 0.000, 0.000);(-0.490, 1.636, 2.918);(0.100, -0.007, -0.995);VALID;(0.010, 0.016, 1.000);(0.000, 0.000, 0.000);VALID;(0.123, 0.021, 0.992);(-0.034, 0.000, 0.000);0.04559332;VALID;(-0.132, 0.010, 0.991);(0.034, 0.000, 0.000);0.0459473;0.2623309;0;Distance Text Near;(-0.453, 1.632, 2.624)
5837999;1000114084156971859;63789618790784;(-0.490, 1.636, 2.918);(-0.006, 0.999, -0.004, 0.050);(0.000, 0.000, 0.000);(-0.490, 1.636, 2.918);(0.100, -0.007, -0.995);VALID;(0.007, 0.016, 1.000);(0.000, 0.000, 0.000);VALID;(0.123, 0.021, 0.992);(-0.034, 0.000, 0.000);0.04557352;VALID;(-0.132, 0.010, 0.991);(0.034, 0.000, 0.000);0.04586333;0.2626158;0;Distance Text Near;(-0.453, 1.632, 2.624)
5838000;1000114084161975396;63789618790784;(-0.490, 1.636, 2.918);(-0.006, 0.999, -0.004, 0.050);(0.000, 0.000, 0.000);(-0.490, 1.636, 2.918);(0.100, -0.007, -0.995);VALID;(0.004, 0.016, 1.000);(0.000, 0.000, 0.000);VALID;(0.122, 0.021, 0.992);(-0.034, 0.000, 0.000);0.04551443;VALID;(-0.132, 0.010, 0.991);(0.034, 0.000, 0.000);0.04581045;0.2628878;0;Distance Text Near;(-0.453, 1.632, 2.624)
5838001;1000114084166978787;63789618790784;(-0.490, 1.636, 2.918);(-0.006, 0.999, -0.004, 0.050);(0.000, 0.000, 0.000);(-0.490, 1.636, 2.918);(0.100, -0.007, -0.995);VALID;(-0.003, 0.016, 1.000);(0.000, 0.000, 0.000);VALID;(0.122, 0.021, 0.992);(-0.034, 0.000, 0.000);0.04554104;VALID;(-0.132, 0.010, 0.991);(0.034, 0.000, 0.000);0.04575779;0.2630045;0;Distance Text Near;(-0.453, 1.632, 2.624)
5838002;1000114084171982140;63789618790784;(-0.490, 1.636, 2.918);(-0.006, 0.999, -0.004, 0.050);(0.000, 0.000, 0.000);(-0.490, 1.636, 2.918);(0.100, -0.007, -0.995);VALID;(-0.008, 0.016, 1.000);(0.000, 0.000, 0.000);VALID;(0.122, 0.021, 0.992);(-0.034, 0.000, 0.000);0.04554022;VALID;(-0.132, 0.011, 0.991);(0.034, 0.000, 0.000);0.04559381;0.262886;0;Distance Text Near;(-0.453, 1.632, 2.624)
5838003;1000114084176985482;63789618790784;(-0.490, 1.636, 2.918);(-0.006, 0.999, -0.004, 0.050);(0.000, 0.000, 0.000);(-0.490, 1.636, 2.918);(0.100, -0.007, -0.995);VALID;(-0.012, 0.016, 1.000);(0.000, 0.000, 0.000);VALID;(0.122, 0.021, 0.992);(-0.034, 0.000, 0.000);0.04553166;VALID;(-0.133, 0.011, 0.991);(0.034, 0.000, 0.000);0.04555051;0.2627383;0;Distance Text Near;(-0.453, 1.632, 2.624)
5838004;1000114084181988812;63789618790784;(-0.490, 1.636, 2.918);(-0.006, 0.999, -0.004, 0.050);(0.000, 0.000, 0.000);(-0.490, 1.636, 2.918);(0.100, -0.007, -0.995);VALID;(-0.015, 0.016, 1.000);(0.000, 0.000, 0.000);VALID;(0.122, 0.021, 0.992);(-0.034, 0.000, 0.000);0.04544466;VALID;(-0.133, 0.011, 0.991);(0.034, 0.000, 0.000);0.04555016;0.2625968;0;Distance Text Near;(-0.453, 1.632, 2.624)
5838005;1000114084186988778;63789618790784;(-0.490, 1.636, 2.918);(-0.006, 0.999, -0.004, 0.050);(0.000, 0.000, 0.000);(-0.490, 1.636, 2.918);(0.100, -0.007, -0.995);VALID;(-0.014, 0.016, 1.000);(0.000, 0.000, 0.000);VALID;(0.122, 0.021, 0.992);(-0.034, 0.000, 0.000);0.0454375;VALID;(-0.133, 0.011, 0.991);(0.034, 0.000, 0.000);0.04555366;0.2627111;0;Distance Text Near;(-0.453, 1.632, 2.624)
5838006;1000114084191988879;63789618790784;(-0.490, 1.636, 2.918);(-0.006, 0.999, -0.004, 0.050);(0.000, 0.000, 0.000);(-0.490, 1.636, 2.918);(0.100, -0.007, -0.995);VALID;(-0.011, 0.016, 1.000);(0.000, 0.000, 0.000);VALID;(0.122, 0.021, 0.992);(-0.034, 0.000, 0.000);0.04543716;VALID;(-0.133, 0.011, 0.991);(0.034, 0.000, 0.000);0.04553993;0.2627496;0;Distance Text Near;(-0.453, 1.632, 2.624)
